district,month,cases_registered,persons_arrested,details_of_seizure
Bhubaneswar,2015-01,78,91,520 kg of fermented wash destroyed
Ganjam,2015-01,63,79,494 kg of fermented wash destroyed
Koraput,2015-01,19,19,122 liters of ID liquor
Sambalpur,2015-01,31,42,110 liters of ID liquor
Puri,2015-01,39,56,483 kg of fermented wash destroyed
Balasore,2015-01,49,52,470 kg of fermented wash destroyed
Rourkela,2015-01,65,74,78 pouches of country liquor
Mayurbhanj,2015-01,14,14,107 liters of ID liquor
Cuttack,2015-01,92,104,100 liters of ID liquor
Kalahandi,2015-01,18,24,93 liters of ID liquor
Bhubaneswar,2015-02,80,84,105 liters of ID liquor
Ganjam,2015-02,59,66,111 pouches of country liquor
Koraput,2015-02,25,32,515 kg of fermented wash destroyed
Sambalpur,2015-02,42,44,106 liters of ID liquor
Puri,2015-02,25,25,102 pouches of country liquor
Balasore,2015-02,53,68,74 pouches of country liquor
Rourkela,2015-02,69,80,99 liters of ID liquor
Mayurbhanj,2015-02,25,25,496 kg of fermented wash destroyed
Cuttack,2015-02,63,93,112 pouches of country liquor
Kalahandi,2015-02,19,19,87 bottles of IMFL
Bhubaneswar,2015-03,75,79,499 kg of fermented wash destroyed
Ganjam,2015-03,50,66,108 pouches of country liquor
Koraput,2015-03,22,30,492 kg of fermented wash destroyed
Sambalpur,2015-03,41,41,102 bottles of IMFL
Puri,2015-03,37,42,86 pouches of country liquor
Balasore,2015-03,25,34,542 kg of fermented wash destroyed
Rourkela,2015-03,50,50,100 pouches of country liquor
Mayurbhanj,2015-03,26,32,99 pouches of country liquor
Cuttack,2015-03,87,99,94 liters of ID liquor
Kalahandi,2015-03,13,21,107 bottles of IMFL
Bhubaneswar,2015-04,105,105,459 kg of fermented wash destroyed
Ganjam,2015-04,46,49,513 kg of fermented wash destroyed
Koraput,2015-04,27,28,102 pouches of country liquor
Sambalpur,2015-04,29,36,513 kg of fermented wash destroyed
Puri,2015-04,30,36,458 kg of fermented wash destroyed
Balasore,2015-04,35,41,107 bottles of IMFL
Rourkela,2015-04,62,84,105 liters of ID liquor
Mayurbhanj,2015-04,20,29,514 kg of fermented wash destroyed
Cuttack,2015-04,86,100,103 bottles of IMFL
Kalahandi,2015-04,21,24,109 pouches of country liquor
Bhubaneswar,2015-05,77,79,93 bottles of IMFL
Ganjam,2015-05,49,49,95 bottles of IMFL
Koraput,2015-05,29,29,112 liters of ID liquor
Sambalpur,2015-05,52,53,86 pouches of country liquor
Puri,2015-05,28,39,100 liters of ID liquor
Balasore,2015-05,34,38,81 bottles of IMFL
Rourkela,2015-05,71,71,480 kg of fermented wash destroyed
Mayurbhanj,2015-05,13,22,458 kg of fermented wash destroyed
Cuttack,2015-05,87,96,524 kg of fermented wash destroyed
Kalahandi,2015-05,18,23,92 liters of ID liquor
Bhubaneswar,2015-06,102,107,96 liters of ID liquor
Ganjam,2015-06,60,76,105 liters of ID liquor
Koraput,2015-06,20,26,101 bottles of IMFL
Sambalpur,2015-06,52,53,108 pouches of country liquor
Puri,2015-06,39,51,113 bottles of IMFL
Balasore,2015-06,45,45,473 kg of fermented wash destroyed
Rourkela,2015-06,68,69,511 kg of fermented wash destroyed
Mayurbhanj,2015-06,23,29,86 pouches of country liquor
Cuttack,2015-06,77,81,82 pouches of country liquor
Kalahandi,2015-06,20,21,89 bottles of IMFL
Bhubaneswar,2015-07,102,116,511 kg of fermented wash destroyed
Ganjam,2015-07,51,51,96 pouches of country liquor
Koraput,2015-07,22,33,458 kg of fermented wash destroyed
Sambalpur,2015-07,33,33,506 kg of fermented wash destroyed
Puri,2015-07,41,43,100 liters of ID liquor
Balasore,2015-07,49,49,95 pouches of country liquor
Rourkela,2015-07,55,55,86 pouches of country liquor
Mayurbhanj,2015-07,20,20,108 liters of ID liquor
Cuttack,2015-07,75,83,97 bottles of IMFL
Kalahandi,2015-07,18,21,99 liters of ID liquor
Bhubaneswar,2015-08,74,89,491 kg of fermented wash destroyed
Ganjam,2015-08,52,52,94 liters of ID liquor
Koraput,2015-08,22,33,109 liters of ID liquor
Sambalpur,2015-08,43,53,94 bottles of IMFL
Puri,2015-08,31,40,514 kg of fermented wash destroyed
Balasore,2015-08,36,40,463 kg of fermented wash destroyed
Rourkela,2015-08,65,74,92 pouches of country liquor
Mayurbhanj,2015-08,22,22,96 liters of ID liquor
Cuttack,2015-08,81,85,97 bottles of IMFL
