district,month,cases_registered,persons_arrested,gun_rifle,pistol,revolver,mouzer,ak47,slr,others,ammunition,cartridge
Bhubaneswar,2015-01,16,20,1,5,2,0,0,0,7,67,29
Ganjam,2015-01,9,12,1,5,2,0,0,0,2,52,17
Koraput,2015-01,6,6,0,0,0,0,0,0,2,9,0
Sambalpur,2015-01,9,11,1,4,2,0,0,0,2,42,22
Puri,2015-01,7,10,1,3,1,0,0,0,4,38,21
Balasore,2015-01,5,10,0,1,0,0,0,0,2,20,7
Rourkela,2015-01,13,23,1,3,2,0,0,0,2,42,20
Mayurbhanj,2015-01,1,1,0,0,0,0,0,0,1,1,5
Cuttack,2015-01,15,19,2,13,4,0,0,0,5,118,50
Kalahandi,2015-01,3,3,0,1,0,0,0,0,2,15,4
Bhubaneswar,2015-02,8,8,2,4,2,0,0,0,4,42,21
Ganjam,2015-02,8,8,0,2,1,0,0,0,2,23,14
Koraput,2015-02,2,2,0,1,0,0,0,0,1,10,2
Sambalpur,2015-02,4,4,0,2,1,0,0,0,3,35,12
Puri,2015-02,7,11,1,2,1,0,0,0,3,37,13
Balasore,2015-02,6,8,0,3,1,0,0,0,3,34,15
Rourkela,2015-02,12,16,2,10,3,0,0,0,3,94,46
Mayurbhanj,2015-02,3,4,0,1,0,0,0,0,3,10,13
Cuttack,2015-02,10,10,1,6,2,0,0,0,3,55,24
Kalahandi,2015-02,0,2,0,0,0,0,0,0,1,2,1
Bhubaneswar,2015-03,9,10,0,2,1,0,0,0,2,27,6
Ganjam,2015-03,10,11,1,3,2,0,0,0,4,64,19
Koraput,2015-03,3,3,0,1,0,0,0,0,3,23,4
Sambalpur,2015-03,9,10,2,6,3,0,0,0,2,76,17
Puri,2015-03,10,13,1,6,3,0,0,0,2,55,18
Balasore,2015-03,12,13,1,3,2,0,0,0,3,35,14
Rourkela,2015-03,9,13,1,5,2,0,0,0,4,60,18
Mayurbhanj,2015-03,4,10,0,3,0,0,0,0,5,39,22
Cuttack,2015-03,19,19,2,6,2,0,0,0,7,87,41
Kalahandi,2015-03,3,3,0,2,1,0,0,0,2,28,11
Bhubaneswar,2015-04,15,17,3,5,4,0,0,0,4,65,31
Ganjam,2015-04,9,11,1,4,1,0,0,0,3,39,20
Koraput,2015-04,8,8,0,2,1,0,0,0,2,24,14
Sambalpur,2015-04,7,10,1,3,1,0,0,0,2,39,12
Puri,2015-04,6,6,0,1,0,0,0,0,3,17,10
Balasore,2015-04,8,12,1,5,2,0,0,0,3,47,34
Rourkela,2015-04,13,13,1,4,2,0,0,0,5,64,29
Mayurbhanj,2015-04,3,5,0,2,0,0,0,0,3,19,7
Cuttack,2015-04,19,22,2,9,4,0,0,0,2,85,33
Kalahandi,2015-04,3,3,0,1,0,0,0,0,3,16,12
Bhubaneswar,2015-05,27,27,3,7,5,0,0,0,10,122,55
Ganjam,2015-05,9,9,2,5,2,0,0,0,2,50,19
Koraput,2015-05,4,6,0,2,0,0,0,0,3,27,11
Sambalpur,2015-05,10,10,1,5,3,0,0,0,4,54,31
Puri,2015-05,5,5,0,1,0,0,0,0,4,28,10
Balasore,2015-05,5,5,1,3,1,0,0,0,3,40,13
Rourkela,2015-05,9,14,1,4,2,0,0,0,4,58,23
Mayurbhanj,2015-05,1,2,0,0,0,0,0,0,0,1,1
Cuttack,2015-05,11,11,2,7,1,0,0,0,3,64,32
Kalahandi,2015-05,3,9,0,2,1,0,0,0,1,28,13
Bhubaneswar,2015-06,17,17,1,5,2,0,0,0,8,64,29
Ganjam,2015-06,7,9,0,1,0,0,0,0,2,19,2
Koraput,2015-06,4,8,1,4,2,0,0,0,1,39,15
Sambalpur,2015-06,12,18,3,8,2,0,0,0,4,82,26
Puri,2015-06,4,7,1,3,1,0,0,0,2,31,13
Balasore,2015-06,8,9,1,4,2,0,0,0,3,50,13
Rourkela,2015-06,8,9,1,5,2,0,0,0,1,42,21
Mayurbhanj,2015-06,3,3,0,0,0,0,0,0,1,3,2
Cuttack,2015-06,12,17,1,3,1,0,0,0,5,52,16
Kalahandi,2015-06,0,0,0,0,0,0,0,0,1,5,3
Bhubaneswar,2015-07,20,20,5,12,6,0,0,0,5,144,60
Ganjam,2015-07,7,8,1,3,1,0,0,0,1,34,15
Koraput,2015-07,6,10,0,2,0,0,0,0,4,40,10
Sambalpur,2015-07,4,4,0,2,1,0,0,0,1,15,10
Puri,2015-07,10,10,1,2,1,0,0,0,4,33,22
Balasore,2015-07,8,14,1,4,1,0,0,0,3,46,21
Rourkela,2015-07,16,20,2,9,3,0,0,0,8,113,41
Mayurbhanj,2015-07,4,4,0,0,0,0,0,0,2,4,8
Cuttack,2015-07,15,20,2,4,3,0,0,0,5,67,25
Kalahandi,2015-07,4,7,0,0,0,0,0,0,1,8,3
Bhubaneswar,2015-08,15,22,2,10,4,0,0,0,3,91,55
Ganjam,2015-08,10,10,1,4,2,0,0,0,3,42,26
Koraput,2015-08,5,9,0,2,1,0,0,0,2,25,4
Sambalpur,2015-08,12,17,2,4,3,0,0,0,5,53,31
Puri,2015-08,11,11,1,2,1,0,0,0,5,51,15
Balasore,2015-08,3,3,0,1,0,0,0,0,3,17,8
Rourkela,2015-08,15,15,2,11,3,0,0,0,5,110,40
Mayurbhanj,2015-08,3,3,0,0,0,0,0,0,2,10,7
Cuttack,2015-08,15,23,4,8,6,0,0,0,7,125,48
Kalahandi,2015-08,5,9,0,2,1,0,0,0,1,16,10
Bhubaneswar,2015-09,16,25,4,13,2,0,0,0,5,136,46
Ganjam,2015-09,6,7,1,5,1,0,0,0,2,38,12
Koraput,2015-09,2,3,0,0,0,0,0,0,1,7,3
Sambalpur,2015-09,7,7,1,5,2,0,0,0,4,76,31
Puri,2015-09,7,8,1,3,2,0,0,0,3,49,10
Balasore,2015-09,8,11,1,4,1,0,0,0,6,59,17
Rourkela,2015-09,14,24,2,5,3,0,0,0,2,65,26
Mayurbhanj,2015-09,7,7,1,4,1,0,0,0,2,34,13
Cuttack,2015-09,17,17,4,11,5,0,0,0,8,150,57
Kalahandi,2015-09,0,0,0,0,0,0,0,0,2,9,4
Bhubaneswar,2015-10,13,13,1,6,2,0,0,0,7,65,25
Ganjam,2015-10,11,11,2,5,1,0,0,0,6,68,29
Koraput,2015-10,3,5,0,1,0,0,0,0,4,32,14
Sambalpur,2015-10,4,7,0,2,1,0,0,0,3,38,14
Puri,2015-10,7,10,0,2,0,0,0,0,2,19,5
Balasore,2015-10,1,2,0,0,0,0,0,0,2,13,0
Rourkela,2015-10,11,16,2,6,3,0,0,0,9,111,37
Mayurbhanj,2015-10,2,2,0,0,0,0,0,0,3,17,9
Cuttack,2015-10,10,13,1,4,1,0,0,0,2,59,15
Kalahandi,2015-10,4,4,0,0,0,0,0,0,1,6,2
Bhubaneswar,2015-11,16,24,3,10,8,0,0,0,9,156,49
Ganjam,2015-11,10,10,1,3,1,0,0,0,6,46,25
Koraput,2015-11,5,8,1,3,1,0,0,0,4,39,16
Sambalpur,2015-11,12,12,2,5,2,0,0,0,6,88,34
Puri,2015-11,8,9,1,3,1,0,0,0,6,51,33
Balasore,2015-11,11,11,1,4,1,0,0,0,4,50,25
Rourkela,2015-11,9,14,2,4,2,0,0,0,7,85,34
Mayurbhanj,2015-11,8,15,2,5,3,0,0,0,3,75,23
Cuttack,2015-11,12,15,1,4,2,0,0,0,4,53,20
Kalahandi,2015-11,4,5,0,1,0,0,0,0,2,22,10
