district,month,nbw_pending_start,nbw_received,nbw_executed_drive,nbw_disposed_other,nbw_total_disposed,nbw_pending_end,nbw_executed_st_gr,nbw_executed_before2023
Bhubaneswar,2015-01,500,287,158,66,224,563,33,9
Ganjam,2015-01,500,166,78,44,122,544,18,4
Koraput,2015-01,500,79,44,16,60,519,10,12
Sambalpur,2015-01,500,142,71,45,116,526,20,6
Puri,2015-01,500,125,54,31,85,540,18,4
Balasore,2015-01,500,119,82,33,115,504,19,4
Rourkela,2015-01,500,228,115,69,184,544,28,6
Mayurbhanj,2015-01,500,77,29,16,45,532,8,2
Cuttack,2015-01,500,294,140,44,184,610,55,5
Kalahandi,2015-01,500,49,39,15,54,495,9,2
Bhubaneswar,2015-02,563,328,173,95,268,623,68,8
Ganjam,2015-02,544,173,94,52,146,571,28,8
Koraput,2015-02,519,74,35,20,55,538,13,8
Sambalpur,2015-02,526,168,73,42,115,579,16,7
Puri,2015-02,540,112,64,34,98,554,18,4
Balasore,2015-02,504,133,65,37,102,535,15,2
Rourkela,2015-02,544,208,128,57,185,567,28,12
Mayurbhanj,2015-02,532,84,33,23,56,560,7,4
Cuttack,2015-02,610,281,187,84,271,620,50,11
Kalahandi,2015-02,495,58,37,15,52,501,13,5
Bhubaneswar,2015-03,623,277,171,90,261,639,45,7
Ganjam,2015-03,571,193,101,64,165,599,36,7
Koraput,2015-03,538,93,37,29,66,565,8,5
Sambalpur,2015-03,579,166,99,41,140,605,36,2
Puri,2015-03,554,98,63,25,88,564,16,3
Balasore,2015-03,535,127,81,42,123,539,22,5
Rourkela,2015-03,567,221,135,75,210,578,47,7
Mayurbhanj,2015-03,560,75,35,17,52,583,10,4
Cuttack,2015-03,620,294,196,91,287,627,68,4
Kalahandi,2015-03,501,46,30,17,47,500,10,2
Bhubaneswar,2015-04,639,294,187,85,272,661,56,6
Ganjam,2015-04,599,164,105,57,162,601,21,10
Koraput,2015-04,565,74,50,21,71,568,12,8
Sambalpur,2015-04,605,151,67,52,119,637,20,8
Puri,2015-04,564,110,63,44,107,567,17,2
Balasore,2015-04,539,138,74,36,110,567,16,6
Rourkela,2015-04,578,244,135,54,189,633,46,2
Mayurbhanj,2015-04,583,71,40,29,69,585,8,6
