district,month,notice_129_bnss,bound_129_bnss,notice_126_bnss,bound_126_bnss,booked_under_nsa,nbw_executed,chanda_cases_registered,chanda_persons_arrested,blockings_border_sealed,organized_crime_action
Bhubaneswar,2015-01,169,136,119,88,2,267,11,12,29,2
Ganjam,2015-01,86,63,71,66,2,168,6,5,17,1
Koraput,2015-01,41,41,29,29,3,70,0,4,8,1
Sambalpur,2015-01,69,55,58,46,0,119,2,4,13,0
Puri,2015-01,60,46,37,20,0,95,1,6,16,0
Balasore,2015-01,68,58,67,48,2,112,4,5,22,2
Rourkela,2015-01,107,79,91,64,2,188,10,13,25,1
Mayurbhanj,2015-01,31,27,30,25,1,55,1,3,9,1
Cuttack,2015-01,134,111,122,87,2,219,9,10,30,3
Kalahandi,2015-01,28,15,21,19,1,59,1,4,5,0
Bhubaneswar,2015-02,134,96,133,114,2,249,10,9,32,2
Ganjam,2015-02,98,75,86,86,1,145,5,3,18,0
Koraput,2015-02,58,47,35,35,0,68,2,3,10,0
Sambalpur,2015-02,81,71,56,49,0,128,2,8,7,1
Puri,2015-02,69,40,58,46,1,104,6,6,23,1
Balasore,2015-02,64,59,53,36,0,117,6,1,11,1
Rourkela,2015-02,122,99,74,57,2,174,5,14,24,5
Mayurbhanj,2015-02,39,21,31,25,1,56,2,1,11,0
Cuttack,2015-02,162,132,117,98,3,198,4,7,34,7
Kalahandi,2015-02,29,27,22,16,1,55,2,0,2,1
Bhubaneswar,2015-03,145,115,130,105,2,245,12,10,33,3
Ganjam,2015-03,94,85,79,54,2,142,4,7,16,2
Koraput,2015-03,45,43,31,19,1,57,0,2,8,0
Sambalpur,2015-03,66,46,63,51,1,106,1,4,20,0
Puri,2015-03,56,46,43,26,0,98,5,3,6,5
Balasore,2015-03,62,55,51,43,1,95,2,6,12,1
Rourkela,2015-03,102,72,112,88,1,162,7,10,25,1
Mayurbhanj,2015-03,32,22,29,16,0,62,2,1,9,1
Cuttack,2015-03,166,130,109,94,3,214,5,13,30,2
Kalahandi,2015-03,27,22,17,10,3,35,3,4,6,0
Bhubaneswar,2015-04,158,115,112,88,4,243,9,12,29,1
Ganjam,2015-04,99,70,65,43,1,186,3,8,16,3
Koraput,2015-04,42,25,40,37,0,61,7,2,5,2
Sambalpur,2015-04,76,55,59,54,3,109,5,11,22,1
Puri,2015-04,53,41,53,38,1,95,5,0,15,1
Balasore,2015-04,71,71,58,56,0,103,2,4,15,2
Rourkela,2015-04,106,95,96,78,4,165,4,9,24,2
Mayurbhanj,2015-04,31,15,25,17,0,70,2,0,4,1
Cuttack,2015-04,149,105,112,86,0,250,3,8,39,1
Kalahandi,2015-04,33,20,21,19,1,52,4,1,5,2
Bhubaneswar,2015-05,146,104,123,85,0,245,9,11,30,3
Ganjam,2015-05,88,88,67,53,1,161,5,10,23,0
Koraput,2015-05,42,32,37,32,2,60,3,2,3,0
Sambalpur,2015-05,75,71,82,63,1,105,4,4,20,1
Puri,2015-05,52,45,51,34,0,97,4,2,15,1
Balasore,2015-05,71,54,66,60,1,111,2,3,12,1
Rourkela,2015-05,96,86,72,56,1,176,5,14,21,3
Mayurbhanj,2015-05,37,32,33,29,1,48,0,3,5,1
Cuttack,2015-05,134,104,98,59,0,232,9,19,21,0
Kalahandi,2015-05,29,23,22,13,1,46,4,3,7,3
Bhubaneswar,2015-06,153,120,124,85,1,251,8,9,36,5
Ganjam,2015-06,89,85,64,51,3,150,3,5,12,3
Koraput,2015-06,44,42,26,26,1,79,3,3,7,1
Sambalpur,2015-06,67,65,58,49,1,121,4,5,14,2
Puri,2015-06,60,43,52,38,2,102,3,5,10,1
Balasore,2015-06,63,54,64,39,1,118,3,7,17,0
Rourkela,2015-06,97,90,70,54,2,192,5,6,28,1
Mayurbhanj,2015-06,30,22,25,20,0,49,0,3,10,2
Cuttack,2015-06,125,103,107,86,3,222,9,9,23,5
Kalahandi,2015-06,32,31,22,11,1,45,4,1,5,0
Bhubaneswar,2015-07,139,131,116,74,0,228,14,13,31,2
Ganjam,2015-07,89,75,86,74,0,146,6,7,21,0
Koraput,2015-07,42,24,30,24,0,74,3,2,12,0
Sambalpur,2015-07,92,73,59,49,1,120,6,8,13,1
Puri,2015-07,49,45,42,33,1,82,2,1,14,2
Balasore,2015-07,63,63,56,40,3,105,4,7,20,0
Rourkela,2015-07,105,82,79,62,0,196,1,5,19,0
Mayurbhanj,2015-07,30,22,24,20,1,63,1,5,7,2
Cuttack,2015-07,120,104,102,86,2,228,10,16,34,5
