district,month,missing_boys_start,missing_boys_during,traced_boys,missing_girls_start,missing_girls_during,traced_girls,missing_men_start,missing_men_during,traced_men,missing_women_start,missing_women_during,traced_women
Bhubaneswar,2015-01,50,28,11,60,48,15,100,40,24,120,46,33
Ganjam,2015-01,50,22,15,60,24,11,100,20,11,120,29,15
Koraput,2015-01,50,5,5,60,10,7,100,11,8,120,13,13
Sambalpur,2015-01,50,20,12,60,27,18,100,18,13,120,28,15
Puri,2015-01,50,7,6,60,17,8,100,8,15,120,24,17
Balasore,2015-01,50,17,12,60,15,6,100,21,17,120,22,16
Rourkela,2015-01,50,22,11,60,21,13,100,29,9,120,46,27
Mayurbhanj,2015-01,50,10,8,60,10,8,100,6,13,120,9,10
Cuttack,2015-01,50,22,16,60,52,23,100,43,24,120,50,28
Kalahandi,2015-01,50,9,14,60,11,8,100,7,9,120,9,15
Bhubaneswar,2015-02,67,24,12,93,45,29,116,26,12,133,61,34
Ganjam,2015-02,57,17,8,73,25,14,109,25,19,134,43,27
Koraput,2015-02,50,4,6,63,12,12,103,9,11,120,12,18
Sambalpur,2015-02,58,21,12,69,27,16,105,18,15,133,20,17
Puri,2015-02,51,10,8,69,21,11,93,19,17,127,22,16
Balasore,2015-02,55,15,10,69,19,11,104,19,17,126,31,24
Rourkela,2015-02,61,20,14,68,30,16,120,28,14,139,32,27
Mayurbhanj,2015-02,52,9,12,62,6,10,93,11,7,119,11,13
Cuttack,2015-02,56,22,14,89,41,39,119,32,22,142,66,17
Kalahandi,2015-02,45,8,5,63,9,7,98,7,14,114,10,17
Bhubaneswar,2015-03,79,24,11,109,46,23,130,36,20,160,53,27
Ganjam,2015-03,66,20,14,84,25,13,115,19,18,150,29,17
Koraput,2015-03,48,10,6,63,14,7,101,8,10,114,13,16
Sambalpur,2015-03,67,16,17,80,26,20,108,12,16,136,20,23
Puri,2015-03,53,11,8,79,18,12,95,16,9,133,16,19
Balasore,2015-03,60,10,9,77,23,5,106,20,20,133,21,35
Rourkela,2015-03,67,22,14,82,33,20,134,20,14,144,37,37
Mayurbhanj,2015-03,49,5,2,58,7,2,97,8,12,117,16,17
Cuttack,2015-03,64,30,16,91,40,22,129,40,23,191,54,38
Kalahandi,2015-03,48,4,8,65,9,12,91,6,9,107,11,17
Bhubaneswar,2015-04,92,37,20,132,39,23,146,30,21,186,51,30
Ganjam,2015-04,72,15,9,96,31,20,116,25,11,162,26,23
Koraput,2015-04,52,9,14,70,15,12,99,12,9,111,16,18
Sambalpur,2015-04,66,9,11,86,24,21,104,21,19,133,27,28
Puri,2015-04,56,12,11,85,16,18,102,12,9,130,25,24
Balasore,2015-04,61,17,14,95,25,17,106,22,11,119,29,23
Rourkela,2015-04,75,20,6,95,42,22,140,26,34,144,37,26
Mayurbhanj,2015-04,52,12,10,63,7,10,93,8,8,116,16,23
Cuttack,2015-04,78,28,14,109,37,26,146,18,23,207,52,39
Kalahandi,2015-04,44,5,3,62,11,11,88,11,12,101,7,16
Bhubaneswar,2015-05,109,27,19,148,28,21,155,35,25,207,44,28
Ganjam,2015-05,78,23,18,107,21,15,130,21,16,165,32,33
Koraput,2015-05,47,13,6,73,10,10,102,12,20,109,11,17
Sambalpur,2015-05,64,11,7,89,16,17,106,20,17,132,30,16
Puri,2015-05,57,13,11,83,23,8,105,17,18,131,28,14
Balasore,2015-05,64,15,21,103,20,13,117,18,18,125,30,18
Rourkela,2015-05,89,16,18,115,25,12,132,18,23,155,48,24
Mayurbhanj,2015-05,54,10,7,60,7,11,93,11,16,109,16,20
Cuttack,2015-05,92,23,14,120,48,28,141,32,17,220,49,36
Kalahandi,2015-05,46,2,6,62,3,8,87,10,6,92,12,7
Bhubaneswar,2015-06,117,29,29,155,41,38,165,28,29,223,60,35
Ganjam,2015-06,83,24,12,113,29,18,135,29,29,164,40,25
Koraput,2015-06,54,9,9,73,11,14,94,8,13,103,17,22
Sambalpur,2015-06,68,17,11,88,26,20,109,17,14,146,23,21
Puri,2015-06,59,12,12,98,16,8,104,14,16,145,15,15
Balasore,2015-06,58,16,5,110,19,14,117,8,11,137,32,23
Rourkela,2015-06,87,13,8,128,32,18,127,36,23,179,44,35
Mayurbhanj,2015-06,57,7,4,56,10,14,88,4,11,105,16,18
Cuttack,2015-06,101,31,17,140,32,15,156,42,32,233,54,42
