district,month,cases_registered,persons_arrested,details_of_seizure,arrest_per_case,target_efficiency
Bhubaneswar,2015-01-01,78,91,520 kg of fermented wash destroyed,1.1666666666666667,1.05
Ganjam,2015-01-01,63,79,494 kg of fermented wash destroyed,1.253968253968254,1.11864406779661
Koraput,2015-01-01,19,19,122 liters of ID liquor,1.0,1.28
Sambalpur,2015-01-01,31,42,110 liters of ID liquor,1.3548387096774193,1.0476190476190477
Puri,2015-01-01,39,56,483 kg of fermented wash destroyed,1.435897435897436,1.0
Balasore,2015-01-01,49,52,470 kg of fermented wash destroyed,1.0612244897959184,1.2830188679245282
Rourkela,2015-01-01,65,74,78 pouches of country liquor,1.1384615384615384,1.1594202898550725
Mayurbhanj,2015-01-01,14,14,107 liters of ID liquor,1.0,1.0
Cuttack,2015-01-01,92,104,100 liters of ID liquor,1.1304347826086956,1.4761904761904763
Kalahandi,2015-01-01,18,24,93 liters of ID liquor,1.3333333333333333,1.0
Bhubaneswar,2015-02-01,80,84,105 liters of ID liquor,1.05,1.0533333333333332
Ganjam,2015-02-01,59,66,111 pouches of country liquor,1.11864406779661,1.32
Koraput,2015-02-01,25,32,515 kg of fermented wash destroyed,1.28,1.3636363636363635
Sambalpur,2015-02-01,42,44,106 liters of ID liquor,1.0476190476190477,1.0
Puri,2015-02-01,25,25,102 pouches of country liquor,1.0,1.135135135135135
Balasore,2015-02-01,53,68,74 pouches of country liquor,1.2830188679245282,1.36
Rourkela,2015-02-01,69,80,99 liters of ID liquor,1.1594202898550725,1.0
Mayurbhanj,2015-02-01,25,25,496 kg of fermented wash destroyed,1.0,1.2307692307692308
Cuttack,2015-02-01,63,93,112 pouches of country liquor,1.4761904761904763,1.1379310344827587
Kalahandi,2015-02-01,19,19,87 bottles of IMFL,1.0,1.6153846153846154
Bhubaneswar,2015-03-01,75,79,499 kg of fermented wash destroyed,1.0533333333333332,1.0
Ganjam,2015-03-01,50,66,108 pouches of country liquor,1.32,1.065217391304348
Koraput,2015-03-01,22,30,492 kg of fermented wash destroyed,1.3636363636363635,1.037037037037037
Sambalpur,2015-03-01,41,41,102 bottles of IMFL,1.0,1.2413793103448276
Puri,2015-03-01,37,42,86 pouches of country liquor,1.135135135135135,1.2
Balasore,2015-03-01,25,34,542 kg of fermented wash destroyed,1.36,1.1714285714285715
Rourkela,2015-03-01,50,50,100 pouches of country liquor,1.0,1.3548387096774193
Mayurbhanj,2015-03-01,26,32,99 pouches of country liquor,1.2307692307692308,1.45
Cuttack,2015-03-01,87,99,94 liters of ID liquor,1.1379310344827587,1.1627906976744187
Kalahandi,2015-03-01,13,21,107 bottles of IMFL,1.6153846153846154,1.1428571428571428
Bhubaneswar,2015-04-01,105,105,459 kg of fermented wash destroyed,1.0,1.025974025974026
Ganjam,2015-04-01,46,49,513 kg of fermented wash destroyed,1.065217391304348,1.0
Koraput,2015-04-01,27,28,102 pouches of country liquor,1.037037037037037,1.0
Sambalpur,2015-04-01,29,36,513 kg of fermented wash destroyed,1.2413793103448276,1.0192307692307692
Puri,2015-04-01,30,36,458 kg of fermented wash destroyed,1.2,1.3928571428571428
Balasore,2015-04-01,35,41,107 bottles of IMFL,1.1714285714285715,1.1176470588235294
Rourkela,2015-04-01,62,84,105 liters of ID liquor,1.3548387096774193,1.0
Mayurbhanj,2015-04-01,20,29,514 kg of fermented wash destroyed,1.45,1.6923076923076923
Cuttack,2015-04-01,86,100,103 bottles of IMFL,1.1627906976744187,1.103448275862069
Kalahandi,2015-04-01,21,24,109 pouches of country liquor,1.1428571428571428,1.2777777777777777
Bhubaneswar,2015-05-01,77,79,93 bottles of IMFL,1.025974025974026,1.0490196078431373
Ganjam,2015-05-01,49,49,95 bottles of IMFL,1.0,1.2666666666666666
Koraput,2015-05-01,29,29,112 liters of ID liquor,1.0,1.3
Sambalpur,2015-05-01,52,53,86 pouches of country liquor,1.0192307692307692,1.0192307692307692
Puri,2015-05-01,28,39,100 liters of ID liquor,1.3928571428571428,1.3076923076923077
