district,month,ipc_trials,ipc_convictions,ipc_acquitted,sll_trials,sll_convictions,sll_acquitted,nonmv_trials,nonmv_convictions,nonmv_acquitted,mv_trials,mv_convictions,mv_acquitted,speedy_trial_cases,judgement_date,punishment
Bhubaneswar,2015-01,60,23,25,81,29,19,0,0,0,318,240,21,6,2015-01-11,Acquitted
Ganjam,2015-01,46,11,24,53,25,19,0,0,0,179,149,4,4,2015-01-17,"5 years RI + Rs. 10,000 fine"
Koraput,2015-01,17,6,9,25,9,8,0,0,0,88,60,15,2,2015-01-15,1 year Probation
Sambalpur,2015-01,30,14,16,58,24,18,0,0,0,137,108,20,2,2015-01-24,6 months RI
Puri,2015-01,31,8,10,36,9,15,0,0,0,116,88,19,3,2015-01-18,3 years Rigorous Imprisonment
Balasore,2015-01,23,5,8,46,22,15,0,0,0,145,119,4,4,2015-01-05,"5 years RI + Rs. 10,000 fine"
Rourkela,2015-01,46,10,22,69,30,20,0,0,0,230,173,11,1,2015-01-21,6 months RI
Mayurbhanj,2015-01,13,6,7,12,5,7,0,0,0,65,41,9,4,2015-01-17,1 year Probation
Cuttack,2015-01,59,14,32,79,44,33,0,0,0,319,275,12,9,2015-01-22,Acquitted
Kalahandi,2015-01,15,6,8,20,10,7,0,0,0,61,49,12,0,2015-01-08,3 years Rigorous Imprisonment
Bhubaneswar,2015-02,53,9,38,101,40,55,0,0,0,291,256,31,14,2015-02-13,1 year Probation
Ganjam,2015-02,24,4,8,48,24,14,0,0,0,160,142,9,2,2015-02-03,Acquitted
Koraput,2015-02,12,2,6,21,9,6,0,0,0,72,66,6,2,2015-02-02,1 year Probation
Sambalpur,2015-02,25,4,15,44,23,13,0,0,0,156,107,20,4,2015-02-08,Fine of Rs. 5000
Puri,2015-02,18,6,11,30,8,11,0,0,0,116,88,21,3,2015-02-09,1 year Probation
Balasore,2015-02,28,7,16,41,14,16,0,0,0,153,108,9,1,2015-02-13,"5 years RI + Rs. 10,000 fine"
Rourkela,2015-02,49,9,34,70,25,34,0,0,0,216,199,7,8,2015-02-17,"5 years RI + Rs. 10,000 fine"
Mayurbhanj,2015-02,18,5,10,18,7,11,0,0,0,83,63,15,1,2015-02-23,Acquitted
Cuttack,2015-02,67,23,25,106,71,32,0,0,0,260,241,15,4,2015-02-02,Fine of Rs. 5000
Kalahandi,2015-02,13,3,8,18,9,6,0,0,0,63,50,2,1,2015-02-11,1 year Probation
Bhubaneswar,2015-03,66,13,40,89,50,30,0,0,0,290,236,10,7,2015-03-22,Acquitted
Ganjam,2015-03,40,14,18,44,22,11,0,0,0,177,138,20,2,2015-03-13,"5 years RI + Rs. 10,000 fine"
Koraput,2015-03,21,7,9,25,6,8,0,0,0,69,60,9,3,2015-03-07,6 months RI
Sambalpur,2015-03,39,9,30,44,23,13,0,0,0,149,106,11,4,2015-03-13,2 years RI + Rs. 5000 fine
Puri,2015-03,28,4,14,33,20,10,0,0,0,123,91,16,2,2015-03-17,1 year Probation
Balasore,2015-03,19,3,9,33,12,8,0,0,0,151,137,14,2,2015-03-18,"5 years RI + Rs. 10,000 fine"
Rourkela,2015-03,48,20,22,61,28,23,0,0,0,242,174,24,4,2015-03-28,"5 years RI + Rs. 10,000 fine"
Mayurbhanj,2015-03,16,4,8,24,12,7,0,0,0,62,45,10,3,2015-03-15,"5 years RI + Rs. 10,000 fine"
Cuttack,2015-03,61,20,29,78,38,23,0,0,0,307,208,36,8,2015-03-17,3 years Rigorous Imprisonment
Kalahandi,2015-03,21,5,12,9,1,3,0,0,0,46,37,8,1,2015-03-02,3 years Rigorous Imprisonment
Bhubaneswar,2015-04,56,23,33,95,34,37,0,0,0,287,223,55,4,2015-04-25,Acquitted
Ganjam,2015-04,36,16,20,51,27,14,0,0,0,201,126,30,3,2015-04-27,2 years RI + Rs. 5000 fine
Koraput,2015-04,20,6,14,20,11,8,0,0,0,88,60,12,2,2015-04-19,Acquitted
Sambalpur,2015-04,27,5,15,47,19,14,0,0,0,139,133,6,4,2015-04-21,"5 years RI + Rs. 10,000 fine"
Puri,2015-04,19,5,10,27,7,8,0,0,0,108,100,8,1,2015-04-13,Acquitted
Balasore,2015-04,26,8,13,44,17,14,0,0,0,130,104,12,2,2015-04-05,Fine of Rs. 5000
Rourkela,2015-04,47,19,24,52,29,19,0,0,0,224,168,32,2,2015-04-05,Acquitted
Mayurbhanj,2015-04,10,3,6,22,8,11,0,0,0,89,80,9,1,2015-04-12,1 year Probation
Cuttack,2015-04,61,11,34,83,47,21,0,0,0,287,234,8,2,2015-04-23,Acquitted
Kalahandi,2015-04,10,2,4,14,6,5,0,0,0,56,40,7,3,2015-04-13,6 months RI
Bhubaneswar,2015-05,53,8,31,99,41,42,0,0,0,339,259,19,2,2015-05-26,2 years RI + Rs. 5000 fine
Ganjam,2015-05,32,7,17,51,17,23,0,0,0,162,120,11,5,2015-05-06,1 year Probation
Koraput,2015-05,16,4,12,24,12,12,0,0,0,77,66,5,5,2015-05-09,Acquitted
Sambalpur,2015-05,36,6,13,43,14,17,0,0,0,151,120,19,3,2015-05-09,3 years Rigorous Imprisonment
Puri,2015-05,21,1,7,44,13,16,0,0,0,129,108,13,3,2015-05-23,1 year Probation
Balasore,2015-05,27,5,12,44,14,22,0,0,0,168,136,24,1,2015-05-12,3 years Rigorous Imprisonment
Rourkela,2015-05,34,9,17,66,24,37,0,0,0,225,175,24,2,2015-05-08,"5 years RI + Rs. 10,000 fine"
Mayurbhanj,2015-05,21,5,9,20,11,9,0,0,0,60,53,7,5,2015-05-17,Acquitted
Cuttack,2015-05,56,23,28,94,38,47,0,0,0,279,255,12,7,2015-05-14,3 years Rigorous Imprisonment
Kalahandi,2015-05,12,3,9,16,4,7,0,0,0,64,51,7,1,2015-05-21,6 months RI
Bhubaneswar,2015-06,71,14,47,96,41,31,0,0,0,322,258,49,3,2015-06-07,3 years Rigorous Imprisonment
Ganjam,2015-06,34,8,9,70,35,19,0,0,0,179,124,11,3,2015-06-26,"5 years RI + Rs. 10,000 fine"
Koraput,2015-06,17,2,11,19,6,3,0,0,0,64,38,3,1,2015-06-24,2 years RI + Rs. 5000 fine
Sambalpur,2015-06,27,10,13,34,13,11,0,0,0,151,117,12,2,2015-06-08,3 years Rigorous Imprisonment
Puri,2015-06,22,6,13,39,17,19,0,0,0,123,100,15,1,2015-06-24,3 years Rigorous Imprisonment
Balasore,2015-06,19,6,9,29,9,11,0,0,0,150,121,16,2,2015-06-20,3 years Rigorous Imprisonment
Rourkela,2015-06,49,6,18,68,28,18,0,0,0,225,164,25,3,2015-06-14,Fine of Rs. 5000
Mayurbhanj,2015-06,15,6,9,15,5,4,0,0,0,70,58,3,1,2015-06-12,6 months RI
Cuttack,2015-06,79,38,41,77,32,24,0,0,0,272,213,39,5,2015-06-25,3 years Rigorous Imprisonment
Kalahandi,2015-06,8,2,6,16,7,9,0,0,0,67,44,7,1,2015-06-28,Fine of Rs. 5000
Bhubaneswar,2015-07,68,21,32,80,38,30,0,0,0,317,240,23,10,2015-07-25,3 years Rigorous Imprisonment
Ganjam,2015-07,25,7,13,64,19,21,0,0,0,186,168,4,3,2015-07-03,6 months RI
Koraput,2015-07,14,3,11,15,5,8,0,0,0,67,63,2,1,2015-07-06,1 year Probation
Sambalpur,2015-07,32,9,18,39,15,16,0,0,0,153,113,19,6,2015-07-11,6 months RI
Puri,2015-07,22,6,7,42,17,15,0,0,0,111,79,8,1,2015-07-10,6 months RI
Balasore,2015-07,26,5,19,43,21,15,0,0,0,141,133,8,3,2015-07-24,3 years Rigorous Imprisonment
Rourkela,2015-07,51,9,23,57,28,20,0,0,0,222,186,26,3,2015-07-20,1 year Probation
Mayurbhanj,2015-07,12,4,8,30,12,18,0,0,0,58,41,10,2,2015-07-03,Fine of Rs. 5000
Cuttack,2015-07,49,15,27,95,48,28,0,0,0,252,178,43,6,2015-07-23,2 years RI + Rs. 5000 fine
Kalahandi,2015-07,11,3,6,17,7,7,0,0,0,69,63,6,0,2015-07-09,1 year Probation
Bhubaneswar,2015-08,58,20,30,97,39,41,0,0,0,312,204,40,11,2015-08-12,Fine of Rs. 5000
Ganjam,2015-08,30,8,14,79,26,33,0,0,0,192,131,22,2,2015-08-13,Acquitted
Koraput,2015-08,11,3,4,22,11,6,0,0,0,80,77,3,2,2015-08-03,Fine of Rs. 5000
Sambalpur,2015-08,27,3,9,35,10,10,0,0,0,164,110,9,1,2015-08-28,6 months RI
Puri,2015-08,32,5,15,35,8,14,0,0,0,136,106,27,5,2015-08-07,Fine of Rs. 5000
Balasore,2015-08,24,8,16,47,18,19,0,0,0,142,132,10,6,2015-08-08,Fine of Rs. 5000
Rourkela,2015-08,44,9,31,71,37,17,0,0,0,245,224,13,5,2015-08-24,"5 years RI + Rs. 10,000 fine"
Mayurbhanj,2015-08,10,3,7,28,10,13,0,0,0,77,60,15,4,2015-08-13,3 years Rigorous Imprisonment
Cuttack,2015-08,53,16,33,75,33,16,0,0,0,269,230,23,1,2015-08-10,Acquitted
Kalahandi,2015-08,15,3,9,19,7,10,0,0,0,53,51,2,1,2015-08-07,3 years Rigorous Imprisonment
Bhubaneswar,2015-09,63,19,41,88,45,30,0,0,0,309,207,40,5,2015-09-23,Acquitted
Ganjam,2015-09,27,5,9,56,35,18,0,0,0,199,129,30,5,2015-09-20,"5 years RI + Rs. 10,000 fine"
Koraput,2015-09,18,3,12,27,7,7,0,0,0,104,80,4,1,2015-09-20,2 years RI + Rs. 5000 fine
Sambalpur,2015-09,33,8,25,40,15,14,0,0,0,147,122,7,1,2015-09-21,2 years RI + Rs. 5000 fine
Puri,2015-09,25,7,14,46,29,13,0,0,0,115,97,10,2,2015-09-12,"5 years RI + Rs. 10,000 fine"
Balasore,2015-09,25,8,12,33,12,7,0,0,0,125,101,23,2,2015-09-08,Acquitted
Rourkela,2015-09,49,13,33,72,32,30,0,0,0,241,181,32,3,2015-09-19,Acquitted
Mayurbhanj,2015-09,11,2,3,12,3,6,0,0,0,67,56,11,3,2015-09-16,3 years Rigorous Imprisonment
Cuttack,2015-09,47,15,19,101,40,36,0,0,0,280,248,12,3,2015-09-01,Fine of Rs. 5000
Kalahandi,2015-09,10,2,5,18,10,6,0,0,0,50,41,6,1,2015-09-08,1 year Probation
Bhubaneswar,2015-10,58,17,26,90,27,35,0,0,0,293,226,28,11,2015-10-26,Fine of Rs. 5000
Ganjam,2015-10,38,9,16,49,18,10,0,0,0,161,128,24,3,2015-10-24,1 year Probation
Koraput,2015-10,20,6,12,14,4,3,0,0,0,85,61,14,2,2015-10-09,3 years Rigorous Imprisonment
