district,month,cases_registered,vehicles_seized,persons_arrested,notices_served
Bhubaneswar,2015-01,7,8,9,16
Ganjam,2015-01,16,22,22,26
Koraput,2015-01,5,4,9,12
Sambalpur,2015-01,26,31,26,46
Puri,2015-01,7,12,9,15
Balasore,2015-01,19,34,20,40
Rourkela,2015-01,33,66,33,65
Mayurbhanj,2015-01,5,8,5,9
Cuttack,2015-01,11,13,21,20
Kalahandi,2015-01,4,10,11,11
Bhubaneswar,2015-02,9,10,9,15
Ganjam,2015-02,28,31,42,60
Koraput,2015-02,0,2,0,0
Sambalpur,2015-02,21,30,24,43
Puri,2015-02,6,10,7,12
Balasore,2015-02,20,26,22,38
Rourkela,2015-02,48,55,57,88
Mayurbhanj,2015-02,6,10,6,13
Cuttack,2015-02,8,8,11,22
Kalahandi,2015-02,3,3,5,1
Bhubaneswar,2015-03,10,15,14,22
Ganjam,2015-03,21,28,24,53
Koraput,2015-03,2,5,2,2
Sambalpur,2015-03,23,33,25,52
Puri,2015-03,11,15,11,25
Balasore,2015-03,21,35,24,51
Rourkela,2015-03,31,52,33,66
Mayurbhanj,2015-03,7,9,7,14
Cuttack,2015-03,5,7,8,7
Kalahandi,2015-03,2,2,2,3
Bhubaneswar,2015-04,10,22,10,29
Ganjam,2015-04,16,28,16,32
Koraput,2015-04,5,4,5,14
Sambalpur,2015-04,18,21,18,34
Puri,2015-04,3,5,5,6
Balasore,2015-04,26,31,34,51
Rourkela,2015-04,34,57,36,73
Mayurbhanj,2015-04,5,6,6,16
Cuttack,2015-04,9,13,9,20
Kalahandi,2015-04,1,0,1,2
Bhubaneswar,2015-05,5,12,8,6
Ganjam,2015-05,27,43,28,46
Koraput,2015-05,4,7,4,5
Sambalpur,2015-05,12,28,12,25
Puri,2015-05,6,11,6,12
Balasore,2015-05,33,54,33,63
Rourkela,2015-05,33,48,43,60
Mayurbhanj,2015-05,5,7,7,15
Cuttack,2015-05,5,9,6,6
Kalahandi,2015-05,3,4,3,5
Bhubaneswar,2015-06,6,5,6,8
Ganjam,2015-06,34,54,50,71
Koraput,2015-06,3,3,3,8
Sambalpur,2015-06,18,27,20,39
Puri,2015-06,3,5,4,4
Balasore,2015-06,27,44,27,55
Rourkela,2015-06,27,45,41,46
Mayurbhanj,2015-06,7,12,12,6
Cuttack,2015-06,5,8,5,11
Kalahandi,2015-06,5,7,8,13
Bhubaneswar,2015-07,8,8,8,10
Ganjam,2015-07,29,42,44,77
Koraput,2015-07,2,3,2,4
Sambalpur,2015-07,16,20,20,33
Puri,2015-07,5,8,5,10
Balasore,2015-07,30,43,30,60
Rourkela,2015-07,44,64,52,85
Mayurbhanj,2015-07,6,9,6,8
Cuttack,2015-07,4,9,10,8
Kalahandi,2015-07,3,1,3,6
Bhubaneswar,2015-08,5,7,6,8
Ganjam,2015-08,20,20,23,43
Koraput,2015-08,3,5,3,4
Sambalpur,2015-08,22,27,22,44
Puri,2015-08,6,11,9,8
Balasore,2015-08,16,20,16,37
Rourkela,2015-08,30,48,31,69
Mayurbhanj,2015-08,3,2,3,7
Cuttack,2015-08,2,4,2,1
Kalahandi,2015-08,3,7,7,9
Bhubaneswar,2015-09,9,12,9,30
Ganjam,2015-09,36,48,38,76
Koraput,2015-09,8,16,8,25
Sambalpur,2015-09,28,38,31,63
Puri,2015-09,4,7,4,6
Balasore,2015-09,24,36,29,46
Rourkela,2015-09,21,20,25,44
Mayurbhanj,2015-09,2,0,3,3
Cuttack,2015-09,4,2,4,9
Kalahandi,2015-09,3,2,5,3
Bhubaneswar,2015-10,4,3,4,8
